affiliation,speeches
Russian Federation,11338
United States of America,10310
United Kingdom,9944
France,8494
China,7366
United Nations,5188
Japan,3308
Brazil,2802
Germany,2277
Australia,2124
India,2114
Poland,2044
Syrian Arab Republic,2040
Argentina,1990
Egypt,1950
Pakistan,1824
Belgium,1750
Mexico,1725
Colombia,1666
Spain,1629
Italy,1609
Norway,1533
Peru,1532
Nigeria,1525
Netherlands,1513
Ukraine,1511
Canada,1387
Jordan,1385
Malaysia,1341
Indonesia,1306
South Africa,1298
Israel,1290
Türkiye,1289
Republic of Korea,1208
Ecuador,1195
Chile,1178
Sweden,1151
New Zealand,1128
Bolivia,1105
Gabon,1095
Switzerland,1072
Ghana,1052
Ireland,1040
Malta,1022
Albania,1006
Denmark,999
United Arab Emirates,988
Serbia,971
Uruguay,961
Lebanon,954
Kuwait,937
Portugal,916
Venezuela,912
Côte d'Ivoire,865
Senegal,861
Viet Nam,855
Algeria,846
Slovenia,833
Mozambique,828
Greece,803
Morocco,791
Sierra Leone,758
Uganda,755
Ethiopia,747
Kenya,737
Rwanda,724
Tunisia,710
Libyan Arab Jamahiriya,709
Guyana,709
Bangladesh,704
Angola,676
Cuba,675
Iran,667
Panama,664
Democratic Republic of the Congo,656
Philippines,638
Iraq,612
Romania,610
Sudan,601
Kazakhstan,587
Austria,586
Lithuania,580
Bulgaria,572
Mali,571
Jamaica,565
Burkina Faso,562
Guinea,561
Costa Rica,555
Equatorial Guinea,530
United Republic of Tanzania,524
Benin,524
Croatia,513
Cameroon,504
Congo,489
Dominican Republic,478
Azerbaijan,473
European Union,466
Singapore,458
Zambia,454
Qatar,452
Guatemala,451
Czechia,434
Namibia,430
Mauritius,427
Luxembourg,424
Somalia,418
Niger,401
Estonia,390
Hungary,389
Chad,383
Bosnia and Herzegovina,383
Togo,377
Yemen,373
Saudi Arabia,345
Thailand,340
Cyprus,340
Nicaragua,321
Botswana,321
Slovakia,320
Palestine,306
African Union,266
Zimbabwe,265
Sri Lanka,257
Nepal,246
Bahrain,237
Trinidad and Tobago,231
Gambia,230
Honduras,229
Oman,225
Finland,224
Burundi,223
(personal capacity),211
Afghanistan,209
Cape Verde,204
Liberia,199
Djibouti,199
Liechtenstein,198
Mauritania,184
Madagascar,181
League of Arab States,170
Guinea Bissau,167
Paraguay,148
Palestine Liberation Organization,135
Saint Vincent and the Grenadines,129
Georgia,126
Armenia,118
Haiti,116
South Sudan,114
Belarus,112
Holy See,98
Central African Republic,89
International Criminal Court,89
International Tribunal for the Prosecution of Persons Responsible for Serious Violations of International Humanitarian Law Committed in the Territory of the Former Yugoslavia since 1991,82
Organization for Security and Co-operation in Europe,79
Kosovo (Serbia),79
Maldives,76
Myanmar,74
El Salvador,72
Latvia,72
International Criminal Tribunal for Rwanda,71
Timor-Leste,67
Fiji,66
International Committee of the Red Cross,63
High Representative for the Implementation of the Peace Agreement on Bosnia and Herzegovina,62
Iceland,61
Cambodia,57
Organization of the Islamic Conference,48
Mongolia,45
Jewish Agency for Palestine,44
Democratic People's Republic of Korea,42
Montenegro,40
Tajikistan,37
Lao People's Democratic Republic,35
Uzbekistan,35
Lesotho,32
Kyrgyzstan,32
World Food Programme,32
International Residual Mechanism for Criminal Tribunals,31
Papua New Guinea,30
North Macedonia,30
Economic Community of West African States,30
African National Congress,27
Malawi,27
IBRD,27
NATO,26
SWAPO,25
Eritrea,21
Barbados,20
IAEA,20
Arab Higher Committee,18
OAS,18
Joint African Union-United Nations Special Representative for Darfur,18
Pan Africanist Congress of Azania (South Africa),17
"NGO Working Group on Women, Peace and Security",17
Economic Community of Central African States,16
World Health Organization,15
n.a.,14
Seychelles,14
Solomon Islands,14
Special Representative of the Secretary-General and Coordinator of United Nations Operations in Bosnia and Herzegovina,14
Reconstituted Joint Monitoring and Evaluation Commission (South Sudan),14
INTERPOL,12
Eswatini,11
Brunei Darussalam,11
Organisation for the Prohibition of Chemical Weapons,11
AU/UN Hybrid Operation in Darfur,11
Saint Lucia,10
Grenada,10
Joint United Nations Programme on HIV/AIDS,10
Organisation internationale de la Francophonie,10
Moldova,10
Council of Elders,10
Comoros,9
Antigua and Barbuda,9
Special Court for Sierra Leone,9
Andorra,9
Security Council Report (Organization : United States),9
OAU,8
Turkish Federated State of Cyprus,8
Sao Tome and Principe,8
Bahamas,8
Turkmenistan,8
Council of the European Union,8
Marshall Islands,8
Federated States of Micronesia,8
San Marino,8
Palau,8
Tonga,8
Organisation of Islamic Cooperation,8
Patriotic Front of Zimbabwe,7
Belize,7
CARE International,7
Intergovernmental Authority on Development,7
International Organization for Migration,7
FAO,7
Organization of African Unity,6
African National Council,6
Monaco,6
International Tribunal for the Prosecution of Persons Responsible for Serious Violations of International Humanitarian Law Committed in the Territory of the Former Yugoslavia since 1991; International Criminal Tribunal for Rwanda,6
Samoa,6
Commonwealth of Independent States,6
International Residual Mechanism for Criminal Tribunals; International Criminal Tribunal for Rwanda,6
Group of Five for the Sahel,6
Sovereign Order of Malta,6
Facilitator of the Burundi Peace Process,5
East Timor Transitional Administration,5
Nauru,5
ASEAN,5
International Conference on the Great Lakes Region,5
Tuvalu,5
Commission of the Gulf of Guinea,5
National Episcopal Conference of the Congo,5
Hyderabad,4
India or Netherland,4
Comunidade dos Países de Língua Portuguesa,4
IMF,4
Second Transitional Government of East Timor,4
International Center for Transitional Justice,4
Watchlist on Children and Armed Conflict,4
ICAO,4
Elman Peace and Human Rights Centre (Somalia),4
International Peace Institute,4
International Rescue Committee,4
"Yale University (New Haven, Conn.)",4
Union of South Africa,3
South West Africa People's Organization,3
Pan Africanist Congress of Azania,3
All Africa Conference of Churches,3
Zimbabwe African National Union,3
Dominica,3
Suriname,3
Sudan People's Liberation Movement/Army,3
Columbia University (New York),3
Saint Kitts and Nevis,3
Organizatsiia Dogovora o kollektivnoi bezopasnosti,3
International Tribunal for the Prosecution of Persons Responsible for Serious Violations of International Humanitarian Law Committed in the Territory of the Former Yugoslavia since 1991; International Residual Mechanism for Criminal Tribunals,3
Save the Children (United States),3
Financial Action Task Force on Money Laundering,3
Collective Security Treaty Organization,3
Shanghai Cooperation Organisation,3
Afghanistan Independent Human Rights Commission,3
Comunità di Sant'Egidio,3
Iraqi Al-Amal Association,3
Peace Track Initiative (Yemen),3
Commission électorale nationale indépendante (Democratic Republic of the Congo),3
"Johns Hopkins University (Baltimore, Md.)",3
South Sudan Democratic Engagement Monitoring and Observation Programme,3
Tamazight Women's Movement (Organization : Libya),3
Syrian American Medical Society,3
Conflict Armament Research (Organization),3
Médecins du monde,3
International Crisis Group (Organization),3
Norwegian Refugee Council,3
Democratic People’s Republic of Korea,3
Turkish Communal Chamber (Nicosia),2
African Party for the Independence of Guinea and Cape Verde,2
Mozambique Liberation Front (FRELIMO),2
Zimbabwe African People's Union,2
Bhutan,2
Al-Khalil (Palestine),2
Turkish Federated State of Kibris,2
Independent Inquiry into the Actions of the United Nations during the 1994 Genocide in Rwanda,2
Geneva International Centre for Humanitarian Demining,2
"Siemens Aktiengesellschaft (Munich, Germany)",2
Commonwealth Secretariat,2
ACCORD (Organization),2
Council of Europe,2
Women for Women International,2
World Bank,2
UNICEF,2
African Union-United Nations Panel on Modalities for Support to African Union Peacekeeping Operations,2
Inter-American Development Bank,2
Joint African Union-UN Chief Mediator for Darfur,2
Sudan People's Liberation Movement,2
Vanuatu,2
African Development Bank,2
Gulf Cooperation Council,2
Organization of Islamic Cooperation,2
Save the Children International,2
International Centre for the Study of Radicalisation and Political Violence,2
Kiribati,2
South Sudan Women's Empowerment Network,2
Médecins sans frontières (Association),2
"George Mason University (Fairfax, Va.)",2
West Africa Network for Peacebuilding,2
"Henry L. Stimson Center (Washington, D.C.)",2
UN University,2
Search for Common Ground (Organization),2
IMO,2
East African Community,2
Women's Monthly Forum (Organization : South Sudan),2
Human Rights Watch (Organization : United States),2
Mwatana Organization for Human Rights (Yemen),2
Women and Peace Studies Organization (Afghanistan),2
Together We Build It (Organization : Libya),2
Organization for Policy Research and Development Studies (Afghanistan),2
