Player1,Player2,Agreement_Rounds,Total_Rounds,Agreement_Rate
south korea__lee_jae_myung,south korea__kim_min_seok,1,40,0.0250
south korea__lee_jae_myung,thailand__king_maha_vajiralongkorn,,40,0.0000
south korea__lee_jae_myung,thailand__prayuth_chan_ocha,,40,0.0000
south korea__lee_jae_myung,laos__thongloun_sisoulith,,40,0.0000
south korea__lee_jae_myung,cambodia__hun_sen,1;16;19,40,0.0750
south korea__lee_jae_myung,vietnam__nguyen_xuan_phuc,1,40,0.0250
south korea__lee_jae_myung,indonesia__joko_widodo,14,40,0.0250
south korea__lee_jae_myung,japan__shigeru_ishiba,1,40,0.0250
south korea__lee_jae_myung,japan__shinzo_abe,1,40,0.0250
south korea__lee_jae_myung,taiwan__lai_ching_te,1;33,40,0.0500
south korea__lee_jae_myung,taiwan__tsai_ing_wen,1;36,40,0.0500
south korea__lee_jae_myung,philippines__ferdinand_marcos_jr,1,40,0.0250
south korea__lee_jae_myung,malaysia__anwar_ibrahim,1,40,0.0250
south korea__lee_jae_myung,brunei__hassanal_bolkiah,1,40,0.0250
south korea__lee_jae_myung,singapore__lee_hsien_loong,1;9;15,40,0.0750
south korea__kim_min_seok,thailand__king_maha_vajiralongkorn,,40,0.0000
south korea__kim_min_seok,thailand__prayuth_chan_ocha,,40,0.0000
south korea__kim_min_seok,laos__thongloun_sisoulith,12,40,0.0250
south korea__kim_min_seok,cambodia__hun_sen,1,40,0.0250
south korea__kim_min_seok,vietnam__nguyen_xuan_phuc,1,40,0.0250
south korea__kim_min_seok,indonesia__joko_widodo,,40,0.0000
south korea__kim_min_seok,japan__shigeru_ishiba,1,40,0.0250
south korea__kim_min_seok,japan__shinzo_abe,1,40,0.0250
south korea__kim_min_seok,taiwan__lai_ching_te,1,40,0.0250
south korea__kim_min_seok,taiwan__tsai_ing_wen,1;12,40,0.0500
south korea__kim_min_seok,philippines__ferdinand_marcos_jr,1,40,0.0250
south korea__kim_min_seok,malaysia__anwar_ibrahim,1,40,0.0250
south korea__kim_min_seok,brunei__hassanal_bolkiah,1,40,0.0250
south korea__kim_min_seok,singapore__lee_hsien_loong,1,40,0.0250
thailand__king_maha_vajiralongkorn,thailand__prayuth_chan_ocha,1,40,0.0250
thailand__king_maha_vajiralongkorn,laos__thongloun_sisoulith,,40,0.0000
thailand__king_maha_vajiralongkorn,cambodia__hun_sen,,40,0.0000
thailand__king_maha_vajiralongkorn,vietnam__nguyen_xuan_phuc,25,40,0.0250
thailand__king_maha_vajiralongkorn,indonesia__joko_widodo,1,40,0.0250
thailand__king_maha_vajiralongkorn,japan__shigeru_ishiba,,40,0.0000
thailand__king_maha_vajiralongkorn,japan__shinzo_abe,,40,0.0000
thailand__king_maha_vajiralongkorn,taiwan__lai_ching_te,,40,0.0000
thailand__king_maha_vajiralongkorn,taiwan__tsai_ing_wen,,40,0.0000
thailand__king_maha_vajiralongkorn,philippines__ferdinand_marcos_jr,,40,0.0000
thailand__king_maha_vajiralongkorn,malaysia__anwar_ibrahim,,40,0.0000
thailand__king_maha_vajiralongkorn,brunei__hassanal_bolkiah,,40,0.0000
thailand__king_maha_vajiralongkorn,singapore__lee_hsien_loong,25,40,0.0250
thailand__prayuth_chan_ocha,laos__thongloun_sisoulith,22;25,40,0.0500
thailand__prayuth_chan_ocha,cambodia__hun_sen,25,40,0.0250
thailand__prayuth_chan_ocha,vietnam__nguyen_xuan_phuc,,40,0.0000
thailand__prayuth_chan_ocha,indonesia__joko_widodo,1,40,0.0250
thailand__prayuth_chan_ocha,japan__shigeru_ishiba,,40,0.0000
thailand__prayuth_chan_ocha,japan__shinzo_abe,28,40,0.0250
thailand__prayuth_chan_ocha,taiwan__lai_ching_te,2;29,40,0.0500
thailand__prayuth_chan_ocha,taiwan__tsai_ing_wen,31,40,0.0250
thailand__prayuth_chan_ocha,philippines__ferdinand_marcos_jr,24,40,0.0250
thailand__prayuth_chan_ocha,malaysia__anwar_ibrahim,21;32;37,40,0.0750
thailand__prayuth_chan_ocha,brunei__hassanal_bolkiah,,40,0.0000
thailand__prayuth_chan_ocha,singapore__lee_hsien_loong,,40,0.0000
laos__thongloun_sisoulith,cambodia__hun_sen,25,40,0.0250
laos__thongloun_sisoulith,vietnam__nguyen_xuan_phuc,24,40,0.0250
laos__thongloun_sisoulith,indonesia__joko_widodo,24,40,0.0250
laos__thongloun_sisoulith,japan__shigeru_ishiba,,40,0.0000
laos__thongloun_sisoulith,japan__shinzo_abe,,40,0.0000
laos__thongloun_sisoulith,taiwan__lai_ching_te,,40,0.0000
laos__thongloun_sisoulith,taiwan__tsai_ing_wen,12;13,40,0.0500
laos__thongloun_sisoulith,philippines__ferdinand_marcos_jr,,40,0.0000
laos__thongloun_sisoulith,malaysia__anwar_ibrahim,28,40,0.0250
laos__thongloun_sisoulith,brunei__hassanal_bolkiah,28,40,0.0250
laos__thongloun_sisoulith,singapore__lee_hsien_loong,,40,0.0000
cambodia__hun_sen,vietnam__nguyen_xuan_phuc,1;17,40,0.0500
cambodia__hun_sen,indonesia__joko_widodo,,40,0.0000
cambodia__hun_sen,japan__shigeru_ishiba,1,40,0.0250
cambodia__hun_sen,japan__shinzo_abe,1;14;17,40,0.0750
cambodia__hun_sen,taiwan__lai_ching_te,1,40,0.0250
cambodia__hun_sen,taiwan__tsai_ing_wen,1,40,0.0250
cambodia__hun_sen,philippines__ferdinand_marcos_jr,1,40,0.0250
